Title,Date of Reviews,Reviews,Star Rating
Boby Bob,25-Nov-23,Kenapa sekarang banyak penipu di Shopee beli ini yang di kirim lain tolong di chek kembali jangan ada lagi memberi harapan palsu kalau bisa yang pasti aja bener produk yang mau di jual sangat merugikan pengguna apk ini masalah harg juga hampir sama harga sekian eh pasti di cek out malah lebih kalau kasih harga yang pasti aja,Diberi rating 1 bintang dari 5 bintang
Aliyya Hadi,10-Nov-23,"Sorry ya aku ksh bintang 1 karna loading nya lemot banget, sering muncul iklan². Katanya gratis ongkir, malah ongkirnya ngelunjak mahalnya. Mesti paketnya datang lumayan lamaa",Diberi rating 1 bintang dari 5 bintang
Fajar Aja,17-Nov-23,"Semakin lama, makin ancur ni aplikasi, pesanan selalu telat, udah ada jnt yang tepat waktu terus kirimannya.. Palahan ditambahin spx, udah ngaco, telat, kadang pesanan di batalin seenaknnya, sangat buruk",Diberi rating 1 bintang dari 5 bintang
S5 Tank,27-Nov-23,"Aplikasi nya lemot parah,yang lite juga sama lemotnya niat mau cek harga, di tinggal sebentar ke cekqut otomatis 🥴,mau buka voucher juga lemot banget,padahal sinyal lancar😔",Diberi rating 1 bintang dari 5 bintang
prasasti md,1-Nov-23,"Apk goblog. Mau bayar shopepay tapi loadingnya ga ngotak. Ntar juga klo telat didenda. Padahal sini udah ada saldo dan tinggal bayar tapi loading fitur nya ga jalan² stuck disitu trs,, baru kali ini trouble tp bikin trauma.. bsk² lagi uninstal ajalah.. gaguna batt.. lagi genting²nya mlah trouble. Udah pake bbrp cara jg ga berhasil.. sampe bingung sumpah,, pembayaran berhasil pun bsk no pake² shope lah..",Diberi rating 1 bintang dari 5 bintang
Muhammad Ari susanto,11-Nov-23,"Kenapa setelah update makin buruk,tolong lah di perbaiki,mau co barang aja masa iya pas mau di bayar harus nunggu loading nya lama banget download fitur apa lama banget padahal sinyal bagus loh tolong pihak shopee",Diberi rating 1 bintang dari 5 bintang
Fian Sodik,21-Nov-23,"Maaf saya ganti dulu jd bintang satu, sekarang saya mau belanja di shopee mau gratis ongkir harus pakai metode pembayaran seabank kalo tidak splater, jadi menambah kerjaan 2x,harus instal sea bank, harus isi saldo sea bank, isi saldo sea bank dr rekening lain masih kena biaya, mau dapet gratis ongkir semakin repot..",Diberi rating 1 bintang dari 5 bintang
Mega Pratiwi,18-Nov-23,"shopee kenapasi, pas masuk shopeenya gambarnya gaada yang keluar kaya gaada jaringan, padahal buka aplikasi lain jaringan lancar terus, di shopee aja lemot banget. mohon banget diperbaiki lagi yaa🙏🙏",Diberi rating 1 bintang dari 5 bintang
Noer Fajar,27-Nov-23,Pengalaman terburuk pinjam di spinjam . Pencairan lama suku bunga yg tinggi . Bener bener management yg buruk . Tdk seperti pinjol pinjol lain hanya 5 menit lngsung cair ke rekening. Di cancel ga bisa. Pdhal mau di pakai urgent. Sangat amat dzolim aplikasi ini,Diberi rating 1 bintang dari 5 bintang
yusup saputra,10-Nov-23,"ngeri cuy!!! kek ada yg di seting aplikasinya big sale tapi jaringan slalu sibuk mau beli flas sale tinggal pilih metode pembayaran yang tadinya 11Rp malah jadi harga asli :) stok barang habis , padahal 0 terjual aneh ni aplikasi kaya sengaja buat orang susah 👎",Diberi rating 1 bintang dari 5 bintang
Koumori Official,27-Nov-23,"Lemot banget ih, terlalu banyak fitur yang gak begitu berguna kayaknya. Gak usah nyuruh bersihin cache mulu min, gua udah bersihin cache berkali-kali bahkan udah uninstal dan instal ulang juga tetep aja lemot🙄",Diberi rating 1 bintang dari 5 bintang
Yahya Alwafa,9-Nov-23,"Shopeee😡, sebel aku, knp setiap masuk aplikasi pasti lu muncul, terus tiba2 masuk ke aplikasi shopee,mana lagi keluarnya susah amat, kebanyakan iklan, 😡😡😡, bisa gk sih gk muncul di beranda aplikasi lain?",Diberi rating 1 bintang dari 5 bintang
okkiaditya susanto,24-Nov-23,Perbaiki expedisi spx express atau tutup aja kalo gak becus kirim scan sampai hub terakir tidak ada scan kirim ke penjual sudah di scan gagal kirim dan kembali ke penjual ini expedisi apa becus atau tidak mending kalo tidak tutup saja sekalian kembali ke jnt aja lebih baik sop dan prosedurnya mohon di respon saya sebagai seller merasa banyak di rugikan dan pegawai spx banyak yang arogan tidak mau di salahlan dan tidak mau tanggung jawab sekian terima kasih !!!!,Diberi rating 1 bintang dari 5 bintang
aesthetic milovers,11-Nov-23,"Untuk pihak shopee, ini kenapa akun saya kena pelanggaran melakukan hal tidak wajar terus ya padahal saya sama sekali tidak melakukan hal hal yang dilarang, sudah banyak saya menggunakan akun tapi tetap begitu dan paling kecewanya saya sudah check out barang malah dibatalin sama shopee, sangat kecewa bgt sama shopee krn dlu shopee gk kayak gitu, mohon penjelasannya shopee!",Diberi rating 1 bintang dari 5 bintang
Satria Miga,25-Nov-23,"Jangan pernah pakai jasa kirim Shopee (SPX) lagian udah gak ada pilihan kyk dulu mau pakai jasa kirim yg mana, barang saya udah 9 hari gak nyampe"" Padahal udah ambil yg express trus aplikasi makin lemot, parah banget.",Diberi rating 1 bintang dari 5 bintang
Khalisha,26-Nov-23,"Tidak bisa mengubah jasa pengiriman. Kurir spx sangat terlalu lama, padahal pakai instan, apalagi yang reguler.",Diberi rating 1 bintang dari 5 bintang
Puji Fatmawati,21-Nov-23,"Sekarang Shopee buruk,Jasa pengiriman nya tidak bisa di pilih, Masak harus maksa pakai Shopee expres, Shopee express itu pengirimannya lambat banget, nggak kayak dulu ada pilihannya jnt express, id express, JNE dll.",Diberi rating 1 bintang dari 5 bintang
Fajry waty,14-Nov-23,"ni aplikasi makin lama makin lambat,,bukan makin memuaskan malah makin mengecewakan,,apa lahi pemgiriman shoopee lama bener,,paket udah smpek kota kita,malah di tahan taham sampek 2 3 jari bru di antar ,,rada aneh memang siw shopee ini 😪",Diberi rating 1 bintang dari 5 bintang
chiioo 17,10-Nov-23,"Sangat kecewa,, sekarang Shopee makin mahal,, masa biaya penanganan spay sama penanganan COD lbh mahal COD,, meskipun sudah pakai vocher freeong, potongan diskon,, ga ada potongan sama sekali",Diberi rating 1 bintang dari 5 bintang
Rio Mf,16-Nov-23,saya awalnya semangat dan senang berbelanja di apk ini karena 2 pesanan menuju platinum. tapi sesudah saya membuat pesanan lebih dari 5 pas 11.11 kemarin ko malah balik lagi ya harus menyelesaikan 64 pesanan lagi. padahal saya di tahun ini sudah 2 kali menamatkan transaksi termasuk yang kemarin jadi 3 tapi tetap akun sy tidak naik2 ke platinum padahal sy menamakan nya dengan kedua cara kalo ga jumlah pesanan ya nominal nya,Diberi rating 1 bintang dari 5 bintang
Indra Pradana Ajjaa,21-Nov-23,"Ga sesuai dengan iklan dimana-mana, ongkir mahal meskipun sudah pakai voucher, selalu terkendala dalam pengiriman, ga sesuai dengan estimasi yg di tentukan, apk boster",Diberi rating 1 bintang dari 5 bintang
Bactiar pramana,24-Nov-23,"Lemot bngt mau buka juga, padahal hp bagus, pake wifi, tolong lah pihak shope benerin ky gini, jadi males mau belanja disini trus kalo sistem nya ngeleg"" trus udh ky game berat aja padahal ini juga ga nyampe 1/2 GB install nya",Diberi rating 1 bintang dari 5 bintang
yuri_,24-Nov-23,"Ini kenapa ya tiba² shopee pay saya tidak bisa dibuka saat mau mengisi saldonya sebelum bermasalah shopee pay saya baik² saja bisa diisi saldo tapi sekarang tidak bisa diisi saldo dan harus download, saat saya download itu tidak bisa dibilang ""jaringan bermasalah"" tolong ini segera diperbaiki ya 🙏🙏",Diberi rating 1 bintang dari 5 bintang
Novita Aryu,15-Nov-23,Pengembalian barang dipersulit dan memakan waktu yang lama.mediasi tidak jelas.instruksi menyertakan bukti masalah tidak jelas..mengecewakan..jelas2 barang tidak sesuai dg yang di review kok tidak bs dikembalikan.yg suka menghindari masalah lebih baik ke tmpt lain saja,Diberi rating 1 bintang dari 5 bintang
Lubang Di Hati,11-Nov-23,"Flas sale hanya untuk orang dalam, dan orang tertentu aja, masa belom sedetik barang habis, padahal baru mulai. Jelas jelas gak masuk akal. Sebagai pengguna setia merasa KECEWA!!! JELAS JELAS GAK FLAS SALE NAMANYA.",Diberi rating 1 bintang dari 5 bintang
Wanda Wulandar,19-Nov-23,Kenapa saya tidak bisa simpan kategori berat produk. Tiap mau isi berat produk keterangan klik simpannnya hilang. Ada apa. Merugikan saja,Diberi rating 1 bintang dari 5 bintang
Jepi Sanjaya,5-Nov-23,"Belanja online dishope sekrang payah, pengiriman nya lama, shopee expres itu jelek banget expedisinya mana lama diantarkan ke alamat dan juga didatangkan ke gudang juga gk bisa diambil disana, dah lah shopee kalau pelayanan kau gini2 aja maka akan kalah sama aplikasi yg lain",Diberi rating 1 bintang dari 5 bintang
Zeni Alkhansa,19-Nov-23,"P,mksd,gimana nih,w mau login kok gabisa bisa?,ktnya apk terbaik,tp kok ngebug trus,+gabisa ganti name? Pdhl udh di simpen,TPI ttp gabisa di ubah?,gimana nih hadehhh,perbaikin lg.",Diberi rating 1 bintang dari 5 bintang
miracle adry,11-Nov-23,"11.11 masih pada percaya?, masa di klik pas jamnya barang langsung habis!!!!, saya coba berkali-kali sama saja, padahal stok barang masih tertera masih ada, pas jamnya di klik barang langsung habis!!!!",Diberi rating 1 bintang dari 5 bintang
Elly Rachmawati,13-Nov-23,"Bintang satu aja emang kali ini shopee, product sampai dengan cacat ngurus e ribet e ampun2 ngalah2i Lazada yang udah lumayan ribet ini Shopee tambah lebih ribet kuadrat, mana foto yang diminta sticker fragile lah kalau dari yang kirim gak ada kog ya gimana cara saya dapat? paling enak urus gituan itu Tokopedia",Diberi rating 1 bintang dari 5 bintang
Keluarga ZW,8-Nov-23,"Untuk dana yang ada di SHOPEE PAY harusnya tetap bisa dipake walaupun sisa 1000, caranya digabung dengan pembayaran yang lain, coba contoh toko sebelah, mungkin admin lebih paham.",Diberi rating 1 bintang dari 5 bintang
Dessy Suryanii,10-Nov-23,Setiap ada big sale entah 10.10 atau 11.11 selalu lemot gak bisa co memuat terus biaya penanganan juga makin naik beda dengan shopee yang dulu sayang sekali padahal udah langganan dari tahun 2017,Diberi rating 1 bintang dari 5 bintang
hilma Faizah,24-Nov-23,"Aplikasi sekarang lemot banget, mau klik apa cari apa loading lamaa banget. Terus apa2 ada biaya penanganan bahkan untuk shopefood 5k buat biaya penanganan doang. Terus sekarang gratis ongkirnya pelit banget",Diberi rating 1 bintang dari 5 bintang
09_Candra Firmansyah,20-Nov-23,"Aplikasi semakin lemot, sudah diperbarui sudah clear cache, sebagai pengguna shopee saya merasa rugi, Aplikasi perlu diperbaiki lagi. Secepatnya",Diberi rating 1 bintang dari 5 bintang
Nibal Arsy sabiq,26-Nov-23,"Iklan mulu setiap buka aplikasi apapun pasti iklan nya shopee, males banget, iklan nya mengganggu, aplikasi nya bagus tapi suka ada iklan",Diberi rating 1 bintang dari 5 bintang
Hafiza nur Azmi,22-Nov-23,"shopee skrg susah dpt voucher gratis ongkir, dan setiap sy beli paket, paket nya selalu di return ke penjual, oiya, sy bli paket nya pakai ekspedisi spx dan tidak ada penanganan secara cepat dari pihak spx nya",Diberi rating 1 bintang dari 5 bintang
Norman Hendry,7-Nov-23,"Aplikasi makin lemot, ngrubah alamat tidak bisa terus, dibuka lamaaa banget padahal internet stabil , makin kesni bukan banyak perubahan malah bnyak penurunan nya saya turunin bintang nya karena menghambat aplikasi nya",Diberi rating 1 bintang dari 5 bintang
Rusmi ati,7-Nov-23,A sangat lemot sering belang tidak bisa membuka produk saat chat CS sering gangguan Sudah antri tiba-tiba error shopee sekarang sangat buruk tidak bisa menampung banyak pengguna Tolong perbaiki dulu server baru memberi voucher voucher,Diberi rating 1 bintang dari 5 bintang
chacaaa,16-Nov-23,"Gimana sih,,milih metode pembayaran cod gabisa,,diklik eh ternyata di luarnya tulisannya pilih metode pembayaran lagi,gitu aja sererusnya,,heh gimana si ini shopee,,ak mohon segera diperbaiki ya",Diberi rating 1 bintang dari 5 bintang
Miracle Rapalawa,11-Nov-23,"Em gimana ya min, tapi ini tuh masalahnya masa iya kemarin gw beli headset bluetooth tu kan masa iya cmn sebelah mna bayarnya 75 RB lagi hadehh bukan untung malah buntung mna gakk tahan lama lagi yang jelas dong min nyaranin tokonya mana sebelum check out harganya cmn 25 eh di check out kok jadi mahal bet padahal baru awal daftar kan tuh gw biasanya tuh ad diskon eh kok di gw gaada ya:v mohon y min di toko' yg cuman jualan sebelahnya doang niat nggk?",Diberi rating 1 bintang dari 5 bintang
andnagstnt,21-Nov-23,"Sudah lama sekali dari dulu kala saya menggunakan Shopee banyak dari seller yang tidak AMANAH, trs saya tutup pindah ke lain online shop . Sekarang kembali keShopee gara"" ngikutin Tik Tok. Dari pihak Shopee perhatikan para Seller untuk tidak melakukan semua hal yg TIDAK AMANAH. Sehingga sangat mengecewakan Customer. Ingat yaa ... Para Customer itu raja. Bahkan para Customer itu yg memberikan makan semuanya .. !!!",Diberi rating 1 bintang dari 5 bintang
Angel Sarumpaet,6-Nov-23,"Saya kecewa sama shope masa barang saya diambil lagi,gak diantar antar sampe sekarang mentang mentang saya gak ada di tempat kan malam nya saya pulang. Truss udah kirim lama lama juga . Masa anting saya gak nyampe nyampe.",Diberi rating 1 bintang dari 5 bintang
Sipayunx,16-Nov-23,"pengembalian dana ke atm kenapa ga bisa ini, error terus. soalnya penjual baru chat, kalo barang yg udah saya check out stock habis. payah ini applikasi shopee, balikin uang saya. mau buat pengaduan kemana ini? 👎🏻👎🏻",Diberi rating 1 bintang dari 5 bintang
Nevan Scquere,19-Nov-23,"Aplikasi lemot paaarrraaaaaaah.... Beli pulsa di app ini mengecewakan Beli hari minggu 05:30 Sampai senin paginya belum dikirim juga Bukannya otomatis ya kalau dari aplikasinya itu Bukan dari seller/toko²nya lo ya ini Dan jawaban CS cuma suruh nunggu² terus Alasan hari libur lagi, emang manual gitu? Padahal sudah nipis banget ini kuota Mau saya buat beli kuota, hadeh susah susah Mohon diperbaiki lagi kinerjanya kalau tidak mau customernya kecewa dan hilang satu per satu 🙏",Diberi rating 1 bintang dari 5 bintang
Its My Dream,18-Nov-23,Apk nya bikin gk nyaman pengguna..kenapa sih harus minimal 30 ribu untuk voucher gratis ongkirnya..kann bikin orang jadi risih dan gk jadi beli..yg bener dikit lah biasanya juga nggak gini..,Diberi rating 1 bintang dari 5 bintang
Dirga Toloi,11-Nov-23,"Sekarang shope lemot, Di perbarui mkin hancur.mau check out gak bisa"" muter"" pdhl sinyal kncang+ kuota ada . Gak tau muter"" Gak jelas udah 2 hri ini Padahal mau check out barang di 11 ini malah gak bisa . Aneh emng",Diberi rating 1 bintang dari 5 bintang
Della Puspita,7-Nov-23,"ada bintang ½ gak? aplikasi makin diperbarui makin lemot, loading sangat lama, pembayaran via shopeepay sering gagal. Tidak ada perbaikan sama sekali.",Diberi rating 1 bintang dari 5 bintang
Vanya Ariefiansya,24-Nov-23,"Belum pilih metode pembayaran malah udah dikasih opsi shopee pay leter, akal2an shope biar pay laternya laku kaya gini nih, kalo pencet buat pesanan kan otomatis bayar pake kredit tuh, kalo dibatalin nanti barang yang seharusnya mau dibeli pada ilang, ulang lagi dari awal cek barang2nya, gausah main curang lah bro",Diberi rating 1 bintang dari 5 bintang
Izora Zenata,19-Nov-23,"Sumpah deh, jualan di shopee diperumit. Enak pakai expedisi Jnt, muncul shopee express, mana gak ada kantor drop, terus paket q gimana gak bisa terkirim ini woy, pick up juga gak diambil woy.. udah mau lewat batas waktu pengiriman ini mau kena poin mana paketnya banyak lagi, gak bisa di nonaktifkan juga, huft..",Diberi rating 1 bintang dari 5 bintang
Muhammad Nurkholisbaelah,16-Nov-23,Aplikasinya jelek banget dah. Massa iya beli barang tapi nggak bisa chekout. Malah keluar tulisan pelajari lebih lanjut terus padahal pengaturan sudah saya benerin,Diberi rating 1 bintang dari 5 bintang
El Dara,24-Nov-23,"Tolonglah, akun saya kembalikan. Nomor saya hilang dan saya sudah berkali-kali isi formulir perubahan nomor tetap di persulit alasan kekurang data, padahal kan formulirnya sudah saya isi lengkap. Coba lain kalo jelasin cara ngirim data lagi via apa ke siapa?! Bukan cm email gajelas ga dijelasin cara benernya buat balikin akun. Nanti klo gabisa dibuka trs tagihannya ada bunganya ttep aja yang bayar banyak dan yang rugi tuh saya?!!",Diberi rating 1 bintang dari 5 bintang
Asrul Saray,13-Nov-23,Nyesel saya update setelah update kok iklannya lebihi banyak dan sangat mengganggu saat saya nelfon saya chat saya VC saya buka google iklannya menganggu terus. Apa ngga bisa di nonaktifkan iklannya???,Diberi rating 1 bintang dari 5 bintang
muhammad aiyek,13-Nov-23,Apakah shopee sudah tidak bisa dipakek lagi ta? Kok setiap masuk selalu lgagal memuat halaman ini terus😪 mau belanja jadi gk bisa lemottt bgt loadingnya lama. Tiap bulan udah perbaruan. Tp makin parah lemotnya,Diberi rating 1 bintang dari 5 bintang
Mr. Jeki,23-Nov-23,"Kebijakan shopee kalah sama kebijakan toko. Kebijakan toko bisa dikirim random, dikomplain ke shopee kalo salah produk tetap tidak ditanggapi. Diajukan 3x tetap tidak ada perubahan. Pihak SHOPEEnya robot semua. Jawabannya dari waktu ke waktu selalu sama.",Diberi rating 1 bintang dari 5 bintang
Candra Wijaya,20-Nov-23,"App nya di buat pakai apa sih, berat banget jalanin di hp low end, padahal sudah saya clear cache, update dan install ulang masih tetap berat dan lemot.",Diberi rating 1 bintang dari 5 bintang
Mia S,14-Nov-23,"Nggak ngerti kenapa hanya shopee yang bolak-balik bikin hp restart sendiri, nggak bisa uninstall dari manapun dan nggak bisa bersihkan histori. Udah saya perbarui, pas buka hp saya restart sendiri lagi 😩 baru mulai sekitar 2 hari ini Harus bagaimana sayaaa? Bisa rusak kalo begini terus",Diberi rating 1 bintang dari 5 bintang
Rizki Hidayat,10-Nov-23,"tampilannya rumit, tata letak ga rapi, kebanyakan pop up, shopee video ganggu, video nya ga senonoh joget-joget. tolong dong di ilangin aja. ini e-commerce malah mau jadi sosmed apa gimana sii, tiktok shop aja udah tutup, masa shopee video masih nongol? mana video nya ga baik lagi.. kacau",Diberi rating 1 bintang dari 5 bintang
